filtered,baseline
1.0,1.16432297777858
1.0,1.1507843385020848
1.0,1.1237070599490946
1.0,1.1372456992255897
1.0,1.1237070599490946
1.0,1.0018593064606387
1.0,0.9747820279076485
1.0,0.9812805747603661
1.0,0.9780313013340072
1.0,0.9812805747603661
1.0,0.9747820279076485
1.0,0.9883206671841435
1.0,0.9612433886311533
1.0,0.967741935483871
1.0,0.967741935483871
1.0,0.9747820279076485
1.0,0.9747820279076485
1.0,0.9747820279076485
1.0,0.9477047493546582
1.0,0.9341661100781631
1.0,0.920627470801668
1.0,0.8865100998249003
1.0,0.8935501922486777
1.0,0.8935501922486777
1.0,0.920627470801668
1.0,0.9341661100781631
1.0,0.9612433886311533
1.0,0.9747820279076485
1.0,0.9612433886311533
1.0,0.9747820279076485
1.0,0.9341661100781631
1.0,0.9612433886311533
1.0,0.9747820279076485
1.0,0.967741935483871
1.0,0.9612433886311533
1.0,0.967741935483871
1.0,0.9883206671841435
1.0,0.9747820279076485
1.0,0.9747820279076485
1.0,0.920627470801668
1.0,0.9406646569308807
1.0,0.9477047493546582
1.0,0.9747820279076485
1.0,0.9612433886311533
1.0,0.9747820279076485
1.0,1.0153979457371338
1.0,0.9747820279076485
1.0,0.9612433886311533
1.0,0.920627470801668
1.0,0.9612433886311533
1.0,1.0083578533133564
1.0,1.0083578533133564
1.0,1.0153979457371338
1.0,1.0218964925898515
1.0,1.0218964925898515
1.0,1.0153979457371338
1.0,1.042475224290124
1.0,1.0153979457371338
1.0,0.9747820279076485
1.0,0.9612433886311533
1.0,0.9747820279076485
1.0,1.0018593064606387
1.0,0.9883206671841435
1.0,0.967741935483871
1.0,0.9812805747603661
1.0,1.0018593064606387
1.0,0.967741935483871
1.0,0.967741935483871
1.0,0.9341661100781631
1.0,0.9070888315251728
1.0,0.9477047493546582
1.0,0.920627470801668
1.0,0.920627470801668
1.0,0.9070888315251728
1.0,0.920627470801668
1.0,0.9477047493546582
1.0,0.9542032962073759
1.0,0.9341661100781631
1.0,0.9341661100781631
1.0,0.9477047493546582
1.0,0.9070888315251728
1.0,0.9341661100781631
1.0,0.9070888315251728
1.0,0.8664729136956875
1.0,0.8599743668429698
1.0,0.8529342744191923
1.0,0.8561835478455512
1.0,0.8800115529721826
1.0,0.8935501922486777
1.0,0.8800115529721826
1.0,0.8935501922486777
1.0,0.8865100998249003
1.0,0.9070888315251728
1.0,0.9000487391013954
1.0,0.9070888315251728
1.0,0.920627470801668
1.0,0.9406646569308807
1.0,0.9612433886311533
1.0,0.9341661100781631
1.0,0.9070888315251728
1.0,0.9612433886311533
1.0,0.9477047493546582
1.0,0.9542032962073759
1.0,0.9612433886311533
1.0,0.9271260176543856
1.0,0.9341661100781631
1.0,0.9747820279076485
1.0,0.9747820279076485
1.0,0.9747820279076485
1.0,0.9341661100781631
